Index,Lat_Start,Lon_Start,Elevation,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,PointSize
179,57.81641,-4.07027,33,57.81121,-4.07041,1.009086716,-0.071039613,1.008995959,-0.071042056,0.578273071,134.4692873,1
180,57.81121,-4.07041,60,57.80702,-4.06637,1.008995959,-0.071042056,1.00892283,-0.070971545,0.523778783,134.9930661,1
181,57.80702,-4.06637,64,57.80343,-4.05081,1.00892283,-0.070971545,1.008860172,-0.070699972,1.004565208,135.9976313,1
182,57.80343,-4.05081,43,57.79524,-4.03424,1.008860172,-0.070699972,1.00871723,-0.070410771,1.339165668,137.3367969,1
183,57.79524,-4.03424,25,57.78524,-4.02374,1.00871723,-0.070410771,1.008542697,-0.070227511,1.27425316,138.6110501,1
184,57.78524,-4.02374,36,57.78112,-4.02394,1.008542697,-0.070227511,1.008470789,-0.070231002,0.45827649,139.0693266,1
185,57.78112,-4.02394,34,57.77456,-4.03208,1.008470789,-0.070231002,1.008356296,-0.070373072,0.874642647,139.9439692,1
186,57.77456,-4.03208,33,57.77209,-4.0328,1.008356296,-0.070373072,1.008313186,-0.070385638,0.277949979,140.2219192,1
187,57.77209,-4.0328,27,57.76963,-4.03116,1.008313186,-0.070385638,1.008270251,-0.070357015,0.29031388,140.5122331,1
188,57.76963,-4.03116,22,57.76851,-4.029,1.008270251,-0.070357015,1.008250703,-0.070319316,0.178657486,140.6908906,1
189,57.76851,-4.029,21,57.7682,-4.02884,1.008250703,-0.070319316,1.008245293,-0.070316523,0.035752689,140.7266433,1
190,57.7682,-4.02884,19,57.73452,-4.09318,1.008245293,-0.070316523,1.007657466,-0.071439468,5.347761136,146.0744044,1
191,57.73452,-4.09318,28,57.7232,-4.13078,1.007657466,-0.071439468,1.007459895,-0.072095712,2.562732099,148.6371365,1
192,57.7232,-4.13078,24,57.71549,-4.15431,1.007459895,-0.072095712,1.00732533,-0.072506388,1.639374534,150.276511,1
193,57.71549,-4.15431,20,57.7087,-4.18447,1.00732533,-0.072506388,1.007206822,-0.073032779,1.944030362,152.2205414,1
194,57.7087,-4.18447,17,57.7028,-4.21101,1.007206822,-0.073032779,1.007103848,-0.073495989,1.707727763,153.9282692,1
195,57.7028,-4.21101,24,57.69618,-4.23218,1.007103848,-0.073495989,1.006988307,-0.073865476,1.457437459,155.3857066,1
196,57.69618,-4.23218,25,57.68704,-4.25327,1.006988307,-0.073865476,1.006828784,-0.074233565,1.613667372,156.999374,1
197,57.68704,-4.25327,7,57.68328,-4.26681,1.006828784,-0.074233565,1.006763159,-0.074469883,0.906955455,157.9063294,1
198,57.68328,-4.26681,4,57.68346,-4.28168,1.006763159,-0.074469883,1.006766301,-0.074729414,0.884166997,158.7904964,1
199,57.68346,-4.28168,4,57.6695,-4.31645,1.006766301,-0.074729414,1.006522653,-0.075336264,2.585192927,161.3756894,1
200,57.6695,-4.31645,13,57.65766,-4.3358,1.006522653,-0.075336264,1.006316006,-0.075673986,1.748663251,163.1243526,1
